Label;Type;Value;Unit;Page;Subject;Author;Text;"Alt. Value";Color
"1 поверх";Area;648,764;m²;10;Площа_1_3;bulhakov;"648.76 м²";125,201;#d32f2f
"1-510-150_ББО-1а, ОК-3, ОК-6х2, ДБ-1";Perimeter;20,684;m;10;Периметр_пнз;bulhakov;"20.68 м";4,165;#ef5350
"4-250-50_ _ДП-3";Perimeter;3,724;m;10;Периметр_пнз;bulhakov;"3.72 м";1,7;#ab47bc
4-380-50_ОК-5*;Perimeter;3,099;m;10;Периметр_пнз;bulhakov;"3.1 м";0;#ab47bc
"4-250-50_ _ДП-1*";Perimeter;3,724;m;10;Периметр_пнз;bulhakov;"3.72 м";1,7;#ab47bc
"1-510-150_ББО-1а*, ОК-3, ОК-6х2, ДН-3";Perimeter;20,685;m;10;Периметр_пнз;bulhakov;"20.68 м";4,167;#ef5350
1-510-150_ОК-4х3;Perimeter;9,557;m;10;Периметр_пнс;bulhakov;"9.56 м";0;#ef5350
"1-510-0_ОК-1, ДБ-1";Perimeter;5,218;m;10;Периметр_пнс_балкон;bulhakov;"5.22 м";2,81;#ef5350
1-510-150;Perimeter;1,24;m;10;Периметр_пнс;bulhakov;"1.24 м";0;#ef5350
"1-510-150_ОК-5х2, ОК-4";Perimeter;11,376;m;10;Периметр_пдс;bulhakov;"11.38 м";0;#ef5350
"1-510-100_ОК-1х2, ДБ-1х2";Perimeter;5,798;m;10;Периметр_пдс_балкон;bulhakov;"5.8 м";0;#ef5350
1-510-150_ОК-5х2;Perimeter;6,908;m;10;Периметр_пдс;bulhakov;"6.91 м";0;#ef5350
"1-510-100_ОК-1х2, ДБ-1х2";Perimeter;5,798;m;10;Периметр_пдс_балкон;bulhakov;"5.8 м";0;#ef5350
"1-510-150_ОК-5х2, ОК-4";Perimeter;11,376;m;10;Периметр_пдс;bulhakov;"11.38 м";0;#ef5350
1-510-150;Perimeter;1,24;m;10;Периметр_пдз;bulhakov;"1.24 м";0;#ef5350
"1-510-0_ОК-1, ДБ-1";Perimeter;5,218;m;10;Периметр_пдз_балкон;bulhakov;"5.22 м";2,81;#ef5350
1-510-150_ОК-4х3;Perimeter;9,557;m;10;Периметр_пдз;bulhakov;"9.56 м";0;#ef5350
"2 поверх";Area;635,396;m²;11;Площа_1_3;bulhakov;"635.4 м²";120,963;#d32f2f
"1-510-150_ББО-1а, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,634;m;11;Периметр_пнз;bulhakov;"20.63 м";4,165;#ef5350
"1-510-150_ББО-1а*, ОК-3, ОК-6х2, ДБ-2";Perimeter;20,635;m;11;Периметр_пнз;bulhakov;"20.63 м";4,167;#ef5350
1-510-150_ОК-4х3;Perimeter;9,557;m;11;Периметр_пнс;bulhakov;"9.56 м";0;#ef5350
"1-510-0_ОК-1, ДБ-1";Perimeter;5,218;m;11;Периметр_пнс_балкон;bulhakov;"5.22 м";2,81;#ef5350
1-510-150;Perimeter;1,24;m;11;Периметр_пнс;bulhakov;"1.24 м";0;#ef5350
"1-510-150_ОК-5х2, ОК-4";Perimeter;11,376;m;11;Периметр_пдс;bulhakov;"11.38 м";0;#ef5350
"1-510-100_ОК-1х2, ДБ-1х2";Perimeter;5,798;m;11;Периметр_пдс_балкон;bulhakov;"5.8 м";0;#ef5350
