Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,152.72145117484095,17.88290664353582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,147.66811638854472,43.95212274174958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,139.80610134801194,63.26637004165883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,130.61766378418622,77.94830501108231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,120.93571170537996,90.09878711068393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,111.24699509460496,101.05342722666711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,101.90412872302677,111.65495643515135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,93.23101116079015,122.48460887413273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,8,0,8,85.39999973821799,133.96726265673965,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2016,1,1,9,30,20,0,20,79.24588734999679,146.3800797634467,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2016,1,1,10,30,15,0,15,74.85198559377015,159.78973843256324,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2016,1,1,11,30,78,0,78,72.6416946846559,173.97093112962386,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2016,1,1,12,30,120,4,119,72.84079179979912,188.4134454785126,59.5,59.5,59.5,61.778024301152634,63.280822817955496,62.56886660492969,60.059209955849944,59.5
2016,1,1,13,30,68,0,68,75.42811060965992,202.49818805831148,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
2016,1,1,14,30,30,0,30,80.14268746224664,215.75396391273063,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
