Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2018,1,1,0,30,0,0,0,150.87608423227755,15.209182487011162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,1,30,0,0,0,146.47528506733732,40.56414696063297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,2,30,0,0,0,139.2699304377864,60.19504353671084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,3,30,0,0,0,130.62934753331334,75.47032485886433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,4,30,0,0,0,121.40053655446582,88.19195855230032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,5,30,0,0,0,112.09940652715713,99.62801829099618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,6,30,0,0,0,103.0976902098083,110.61257853584152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,7,30,0,0,0,94.72626539132871,121.72432290246587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,8,30,2,0,2,87.0856925099715,133.38029430669542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,1,1,9,30,6,0,6,81.1766778889582,145.84851108447958,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2018,1,1,10,30,36,0,36,76.896859117296,159.19999074921088,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2018,1,1,11,30,8,0,8,74.67878918787059,173.24635529993043,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2018,1,1,12,30,9,0,9,74.73997382000525,187.5498200869132,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2018,1,1,13,30,7,0,7,77.07416526313315,201.56939536517137,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2018,1,1,14,30,5,0,5,81.45298757077208,214.87811787306111,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2018,1,1,15,30,8,0,8,87.4260588442654,227.30231592938907,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2018,1,1,16,30,0,0,0,95.14561510497283,238.92545557467187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,17,30,0,0,0,103.55701109178706,250.02464414266342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,18,30,0,0,0,112.58014946610865,261.025115749287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,19,30,0,0,0,121.88299607611366,272.5167325306113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
