Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2021,1,1,0,30,0,0,0,152.91,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,30,0,0,0,146.91,49.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,2,30,0,0,0,138.44,67.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,3,30,0,0,0,128.88,81.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,4,30,0,0,0,118.96,92.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,5,30,0,0,0,109.12,103.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,6,30,0,0,0,99.71,113.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,7,30,0,0,0,91.04,124.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,8,30,14,0,14,83.34,136.19,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2021,1,1,9,30,9,0,9,77.33,148.77,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2021,1,1,10,30,67,2,66,73.23,162.39,33.0,33.0,33.6,34.7,34.8,33.9,33.0,33.0
2021,1,1,11,30,16,0,16,71.43,176.75,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2021,1,1,12,30,10,0,10,72.12,191.26,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2021,1,1,13,30,8,0,8,75.23,205.27,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2021,1,1,14,30,5,0,5,80.44,218.34,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2021,1,1,15,30,4,0,4,87.23,230.34,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,1,1,16,30,0,0,0,95.7,241.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,17,30,0,0,0,104.82,251.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,18,30,0,0,0,114.51,262.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,19,30,0,0,0,124.43,273.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,20,30,0,0,0,134.21,286.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,21,30,0,0,0,143.28,302.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,22,30,0,0,0,150.6,323.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,23,30,0,0,0,154.33,352.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,0,30,0,0,0,152.86,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,1,30,0,0,0,146.9,49.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,2,30,0,0,0,138.45,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,3,30,0,0,0,128.89,81.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,4,30,0,0,0,118.97,92.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,5,30,0,0,0,109.14,103.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,6,30,0,0,0,99.71,113.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,7,30,0,0,0,91.03,124.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,8,30,16,0,16,83.31,136.06,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2021,1,2,9,30,6,0,6,77.29,148.64,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,2,10,30,9,0,9,73.17,162.26,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2021,1,2,11,30,11,0,11,71.35,176.63,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,2,12,30,11,0,11,72.02,191.16,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,2,13,30,9,0,9,75.11,205.2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2021,1,2,14,30,6,0,6,80.31,218.28,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,2,15,30,16,0,16,87.1,230.3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2021,1,2,16,30,0,0,0,95.56,241.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,17,30,0,0,0,104.68,251.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,18,30,0,0,0,114.36,262.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,19,30,0,0,0,124.29,273.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,20,30,0,0,0,134.07,286.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,21,30,0,0,0,143.14,301.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,22,30,0,0,0,150.47,323.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,23,30,0,0,0,154.23,352.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,0,30,0,0,0,152.8,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,1,30,0,0,0,146.88,48.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,2,30,0,0,0,138.45,66.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
