Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,152.45198745170737,30.271322658133272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,145.68700223364033,53.90240393326775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,136.79363306996387,70.87197627002848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,127.01300522352886,84.00255828840375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,116.99540535886932,95.21633347894681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,107.14203135950868,105.65044933459819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,97.77601206193236,116.03275718869457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,88.8399428127989,126.88420919083694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,45,0,45,81.74791815928485,138.588053373508,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2016,1,1,9,30,165,19,161,76.02827768606852,151.3629615545501,80.5,80.5,89.33652834901872,98.19108239213378,96.68244030299672,85.69434415665717,80.5,80.5
2016,1,1,10,30,35,0,35,72.32098990055978,165.1700355537505,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2016,1,1,11,30,86,0,86,70.9932992574922,179.63472808586062,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
2016,1,1,12,30,134,0,134,72.18934354715132,194.1180807533019,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0
2016,1,1,13,30,34,0,34,75.77884283019355,207.9732308684218,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2016,1,1,14,30,12,0,12,81.40414321423025,220.80821957982067,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1,1,15,30,21,0,21,88.45950081211586,232.56792484493707,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2016,1,1,16,30,0,0,0,97.30064243472742,243.46046918562772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,17,30,0,0,0,106.63065389847972,253.86237342174508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,18,30,0,0,0,116.46354954384131,264.287368699601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,19,30,0,0,0,126.47680881808483,275.44995746248145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,20,30,0,0,0,136.27507237512697,288.4590877546839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,21,30,0,0,0,145.22556062900733,305.18373266604476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,22,30,0,0,0,152.12638933154767,328.40947270001163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,23,30,0,0,0,154.97625316337215,359.05455975384734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,0,30,0,0,0,152.41748275360447,29.989311339160736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,1,30,0,0,0,145.68599788070105,53.66267837363171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,2,30,0,0,0,136.80986345487736,70.67575263978972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,3,30,0,0,0,127.03585769966948,83.83533076346072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,4,30,0,0,0,117.01822781773872,95.06629807724198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,5,30,0,0,0,107.16005118114538,105.50962280801139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,6,30,0,0,0,97.785195293957,115.8958854781755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,7,30,0,0,0,88.83683215319272,126.74816173426956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,8,30,66,3,66,81.72827135783785,138.45189753231404,33.0,33.0,34.969046264825124,35.96340441637757,35.221840451612366,33.178752483721794,33.0,33.0
2016,1,2,9,30,83,0,83,75.98891510231161,151.228472217476,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5
2016,1,2,10,30,54,0,54,72.25995635699617,165.04193837495723,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2016,1,2,11,30,136,0,136,70.91084042375526,179.51957587949414,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
2016,1,2,12,30,169,2,169,72.08823239229707,194.02153538760308,84.5,84.5,84.5,85.47953646072426,86.34636025065969,86.13161124678527,84.96108650306451,84.5
2016,1,2,13,30,75,0,75,75.66358925608554,207.89760469924983,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
2016,1,2,14,30,12,0,12,81.27995981116163,220.75224497046005,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1,2,15,30,5,0,5,88.33950330093586,232.5282531736902,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,2,16,30,0,0,0,97.16583207001894,243.43317184646494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,17,30,0,0,0,106.49417539710129,253.8435771212388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,18,30,0,0,0,116.32633147843352,264.272979364501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,19,30,0,0,0,126.33939979134352,275.4343482378094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,20,30,0,0,0,136.13822979508578,288.43176783864783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,21,30,0,0,0,145.0918927657829,305.1215811157118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,22,30,0,0,0,152.00503639747123,328.26713579745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,23,30,0,0,0,154.88772248022718,358.8027821304737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,0,30,0,0,0,152.3749851240285,29.70416508699759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,1,30,0,0,0,145.67778205259003,53.416644985337086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,2,30,0,0,0,136.8195363025243,70.4729634912618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,3,30,0,0,0,127.05249122141669,83.66207827332511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,4,30,0,0,0,117.03491686405292,94.9108813057436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,5,30,0,0,0,107.17184303939864,105.36402353475353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,6,30,0,0,0,97.78792999252255,115.75483368989887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,7,30,0,0,0,88.82769011759717,126.60857921602945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,8,30,64,1,64,81.70162577917948,138.31299229774618,32.0,32.0,32.65809776548729,32.987876120936136,32.73897004268512,32.05718533561658,32.0,32.0
2016,1,3,9,30,156,15,153,75.94221744352618,151.09224375473536,76.5,76.5,83.53385463736501,90.48062149068377,89.23772988516474,80.53324886676128,76.5,76.5
2016,1,3,10,30,291,683,91,72.19141600037875,164.91336867140615,45.5,45.5,214.75257869652864,609.1439761118379,673.3603766707295,369.78468385258765,45.5,45.5
2016,1,3,11,30,332,712,99,70.82092128063702,179.40539445184072,49.5,49.5,56.47876904160487,529.9253086132654,721.9452181065549,520.0558387859585,49.5,49.5
2016,1,3,12,30,320,694,99,71.97995272381193,193.92738987826675,49.5,49.5,49.5,390.1201960174283,690.056386123327,614.7633327028777,208.34668529729785,49.5
2016,1,3,13,30,258,625,91,75.54165896509981,207.8255979429202,45.5,45.5,45.5,224.20594256689446,580.7274627134227,623.719994156968,327.99909505865327,45.5
2016,1,3,14,30,157,486,69,81.14969597813686,220.7008194268538,34.5,34.5,34.5,70.49895055748857,398.56188736864493,513.3623081023952,347.6516832590461,34.5
2016,1,3,15,30,43,206,30,88.21382185290169,232.49381745591003,15.0,15.0,15.0,15.0,140.3615470732559,219.141302967176,178.33785222343928,41.85330289610427
2016,1,3,16,30,0,0,0,97.02600737619751,243.4116642671015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,17,30,0,0,0,106.35306972861468,253.8311079921982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,18,30,0,0,0,116.18470902218309,264.2655424632516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,19,30,0,0,0,126.19759359323567,275.42649250588175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,20,30,0,0,0,135.99669769631774,288.4132161690558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,21,30,0,0,0,144.95281120186448,305.06920730799794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,22,30,0,0,0,151.87702422397965,328.1342636183008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,23,30,0,0,0,154.79127143368936,358.5556550064921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,0,30,0,0,0,152.32447497969812,29.416356448031365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,1,30,0,0,0,145.6622905129927,53.16463063660842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,2,30,0,0,0,136.822576846143,70.26382832489753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,3,30,0,0,0,127.06283405820903,83.48296486157642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,4,30,0,0,0,117.0454089783525,94.75021881358578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,5,30,0,0,0,107.1773542470169,105.21377199769199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,6,30,0,0,0,97.7841761720756,115.60971381985661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,7,30,0,0,0,88.8124846286319,126.4655684533094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,8,30,67,3,67,81.6679700528628,138.1714407145572,33.5,33.5,35.47959427404235,36.46378869596045,35.711835895792994,33.66421962561364,33.5,33.5
2016,1,4,9,30,162,25,156,75.88819023795405,150.95437596883733,78.0,78.0,89.77135532739833,101.3116274435807,99.19626436430235,84.6644170920612,78.0,78.0
2016,1,4,10,30,307,808,68,72.11539117174803,164.78442347595535,34.0,34.0,235.81339863235064,701.376419027108,775.9993843637753,415.96917361263,34.0,34.0
2016,1,4,11,30,349,838,73,70.7235809346055,179.29227836438145,36.5,36.5,46.27047726793622,602.7010865985774,827.4587784301553,588.883545135404,36.5,36.5
2016,1,4,12,30,338,832,72,71.86455997831692,193.83573507170752,36.0,36.0,36.0,445.1660349404115,803.7280437960471,712.5653768101238,225.07988792089336,36.0
2016,1,4,13,30,276,780,65,75.41312205725623,207.75729436907457,32.5,32.5,32.5,256.25504762246385,700.4953900215211,753.4330925486765,384.05796702439517,32.5
2016,1,4,14,30,168,637,51,81.01343173098215,220.6540158331522,25.5,25.5,25.5,73.17870474627587,502.83271350128246,652.8716924515887,435.4048426127165,25.5
2016,1,4,15,30,6,0,6,88.08250702641048,232.46467733492076,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2016,1,4,16,30,0,0,0,96.88126849361822,243.3959922496453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,17,30,0,0,0,106.20744051936235,253.82499841554954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,18,30,0,0,0,116.03878735806563,264.2650776874055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,19,30,0,0,0,126.05149599221667,275.42639842252663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,20,30,0,0,0,135.8505826704858,288.4034339156031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,21,30,0,0,0,144.8084245534425,305.0266287113059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,22,30,0,0,0,151.74245872250236,328.0109869080062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,23,30,0,0,0,154.68696582899125,358.3135782825799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,0,30,0,0,0,152.26593902298063,29.12636300900806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,1,30,0,0,0,145.63946326037237,52.90697402014689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,2,30,0,0,0,136.81891325662014,70.04857654579189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,3,30,0,0,0,127.06681696303528,83.29816194896398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,4,30,0,0,0,117.04964307790334,94.58445177292299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,5,30,0,0,0,107.17653468660372,105.05899288293006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,6,30,0,0,0,97.7738966139432,115.4606410838183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,7,30,0,0,0,88.79118030672787,126.31923870818866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,8,30,34,0,34,81.62729561040882,138.02734766264388,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2016,1,5,9,30,14,0,14,75.8268422313535,150.8149700463598,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2016,1,5,10,30,22,0,22,72.03190761802156,164.65520090968346,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
2016,1,5,11,30,35,0,35,70.61886205418399,179.18032303655832,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2016,1,5,12,30,105,0,105,71.74211328056279,193.74666231965617,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
2016,1,5,13,30,101,3,101,75.2780523598112,207.69277765898872,50.5,50.5,50.5,51.36318579014692,53.06914972152904,53.2701405898065,51.84842067025552,50.5
2016,1,5,14,30,11,0,11,80.87125082229704,220.61190621181237,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2016,1,5,15,30,44,169,32,87.94561908681672,232.44089076382096,16.0,16.0,16.0,16.0,118.95273194453443,183.46913997194963,149.88439708275496,37.87199017262727
2016,1,5,16,30,0,0,0,96.73171844585181,243.38619910587502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,17,30,0,0,0,106.057393784968,253.82527748934677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,18,30,0,0,0,115.8886735381299,264.27160054285514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,19,30,0,0,0,125.90121413171536,275.4340687140916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,20,30,0,0,0,135.69999230530982,288.4024147284714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,21,30,0,0,0,144.65884246193087,304.99385125821414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,22,30,0,0,0,151.60144813394578,327.89741816446144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,23,30,0,0,0,154.574876966857,358.0769355594706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,0,30,0,0,0,152.1993701977578,28.834665872345397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,1,30,0,0,0,145.60924458162367,52.64402489128514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,2,30,0,0,0,136.80847665664555,69.8274471303323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,3,30,0,0,0,127.06437312668453,83.10784815936097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,4,30,0,0,0,117.04756042853238,94.41372676472645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,5,30,0,0,0,107.16933668410051,104.89981500690715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,6,30,0,0,0,97.75705671436289,115.30773387668341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,7,30,0,0,0,88.76373845211401,126.16970169021039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,8,30,23,0,23,81.57959652141851,137.88081990343068,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2016,1,6,9,30,13,0,13,75.75818521429701,150.6741286571047,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2016,1,6,10,30,29,0,29,71.94099433415248,164.52580033828167,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
2016,1,6,11,30,22,0,22,70.50681074334804,179.06962494401694,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
2016,1,6,12,30,56,0,56,71.61267535620786,193.66026370207103,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
2016,1,6,13,30,17,0,17,75.13652738240205,207.6321316379539,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2016,1,6,14,30,10,0,10,80.72324073659662,220.57456194627275,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,1,6,15,30,48,260,30,87.80322781453721,232.42251423139476,15.0,15.0,15.0,15.0,173.4402580765537,272.63184503203746,220.9061912669571,48.56348323428183
2016,1,6,16,30,0,0,0,96.57746315994234,243.38232590239556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,17,30,0,0,0,105.90303796528858,253.8319713080663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,18,30,0,0,0,115.73447653056672,264.2851226903297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,19,30,0,0,0,125.74685657651705,275.4495011129233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,20,30,0,0,0,135.54503522011203,288.4101453443475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,21,30,0,0,0,144.50417557166105,304.97087020243936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,22,30,0,0,0,151.45410286786017,327.7936525557283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,6,23,30,0,0,0,154.45508139108082,357.84609374334514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,0,30,0,0,0,152.1247676319618,28.541748394810156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,1,30,0,0,0,145.57158307002072,52.37614348167085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,2,30,0,0,0,136.79120108879812,69.60068844062545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,3,30,0,0,0,127.05543809560879,82.9122092618149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,4,30,0,0,0,117.03910451752344,94.23819577725499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,5,30,0,0,0,107.15571485296685,104.73637134711277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,6,30,0,0,0,97.7336243034823,115.1511138431037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,7,30,0,0,0,88.73011711099979,126.01707166358699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,8,30,14,0,14,81.52486933366305,137.73196623373445,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2016,1,7,9,30,7,0,7,75.68223386665571,150.53195616062607,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2016,1,7,10,30,9,0,9,71.84268344141148,164.3963226219389,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2016,1,7,11,30,27,0,27,70.38747646628323,178.96028190085644,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
2016,1,7,12,30,11,0,11,71.47631250897756,193.57663232212252,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2016,1,7,13,30,18,0,18,74.9886283422091,207.57544055426231,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2016,1,7,14,30,6,0,6,80.56949276036723,220.54205404353513,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2016,1,7,15,30,5,0,5,87.65541226752508,232.40960301777216,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,7,16,30,0,0,0,96.41861156248014,243.38441171925422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,17,30,0,0,0,105.74448403124188,253.84510324731775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,18,30,0,0,0,115.57630733173252,264.30565228280125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,19,30,0,0,0,125.58853343069194,275.472688798311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,20,30,0,0,0,135.38582116464409,288.42660619219066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,21,30,0,0,0,144.34453557186401,304.95767099489024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,22,30,0,0,0,151.3005354017343,327.69976892690687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,7,23,30,0,0,0,154.3276606688093,357.6214028281715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,0,30,0,0,0,152.04213658878078,28.24809500217566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,1,30,0,0,0,145.52643165309885,52.103699926301374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,2,30,0,0,0,136.7670235011235,69.36855804196324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,3,30,0,0,0,127.03994969851128,82.7114381292593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,4,30,0,0,0,117.02422093959758,94.0580162139455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,5,30,0,0,0,107.13562594740833,104.56879908292979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,6,30,0,0,0,97.70356948503984,114.9909059402039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,7,30,0,0,0,88.69027125376161,125.8614655425526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,8,30,5,0,5,81.46311292867176,137.58089762356076,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,8,9,30,6,0,6,75.59900561102839,150.38855878759585,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2016,1,8,10,30,8,0,8,71.737010066069,164.2668703371396,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2016,1,8,11,30,68,0,68,70.26091196318951,178.85239331052867,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
2016,1,8,12,30,9,0,9,71.33309457679258,193.49586255924493,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2016,1,8,13,30,35,0,35,74.83444015630259,207.5227893204737,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2016,1,8,14,30,5,0,5,80.41010200592608,220.51445336320504,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,8,15,30,6,0,6,87.50226039845933,232.4022114137055,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2016,1,8,16,30,0,0,0,96.25527561070479,243.39249388183907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,17,30,0,0,0,105.58184551886232,253.8646942258934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,18,30,0,0,0,115.41427900264216,264.33319428643887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,19,30,0,0,0,125.42635636137402,275.5036208041209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,20,30,0,0,0,135.22246102196164,288.45177195646517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,21,30,0,0,0,144.1800351447764,304.9542300941828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,22,30,0,0,0,151.14086009395777,327.61583070833467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,8,23,30,0,0,0,154.19270109659283,357.40319557029807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,0,30,0,0,0,151.95148836911267,27.954189758160567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,1,30,0,0,0,145.47374761948856,51.82707339423723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,2,30,0,0,0,136.73588375231768,69.13132227868499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,3,30,0,0,0,127.017848007834,82.50573448330113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,4,30,0,0,0,117.00285731420615,93.8733507112367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,5,30,0,0,0,107.1090287477609,104.39723944688393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,9,6,30,0,0,0,97.66686449047397,114.82723831743431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
