Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,154.11,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,151.04,32.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,144.18,55.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,135.37,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,125.74,84.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,115.9,96.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,106.25,106.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,97.12,117.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,0,0,0,88.49,128.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,9,30,13,0,13,81.67,140.15,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2016,1,1,10,30,202,686,53,76.28,153.07,26.5,26.5,328.3,660.1,620.7,233.2,26.5,26.5
2016,1,1,11,30,121,4,120,72.92,166.94,60.0,60.0,60.9,63.2,63.7,62.0,60.0,60.0
2016,1,1,12,30,310,790,65,71.92,181.37,32.5,32.5,32.5,550.7,783.3,576.1,50.5,32.5
2016,1,1,13,30,132,5,131,73.38,195.74,65.5,65.5,65.5,67.8,70.1,69.7,66.8,65.5
2016,1,1,14,30,73,0,72,77.15,209.46,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2016,1,1,15,30,4,0,4,82.86,222.19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016,1,1,16,30,5,0,5,89.78,233.91,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,1,17,30,0,0,0,98.77,244.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,18,30,0,0,0,108.02,255.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,19,30,0,0,0,117.72,266.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,20,30,0,0,0,127.55,277.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,21,30,0,0,0,137.08,291.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,22,30,0,0,0,145.62,308.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,23,30,0,0,0,151.91,332.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,0,30,0,0,0,154.03,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,1,30,0,0,0,151.01,32.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,2,30,0,0,0,144.18,54.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,3,30,0,0,0,135.38,71.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,4,30,0,0,0,125.76,84.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,5,30,0,0,0,115.92,95.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,6,30,0,0,0,106.27,106.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,7,30,0,0,0,97.13,117.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,8,30,0,0,0,88.49,128.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,9,30,24,0,24,81.65,140.01,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2016,1,2,10,30,13,0,13,76.24,152.94,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
2016,1,2,11,30,76,0,76,72.86,166.82,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2016,1,2,12,30,153,1,153,71.83,181.26,76.5,76.5,76.5,77.2,77.4,77.2,76.5,76.5
2016,1,2,13,30,127,0,127,73.27,195.65,63.5,63.5,63.5,63.5,63.5,63.5,63.5,63.5
2016,1,2,14,30,70,0,70,77.03,209.39,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
2016,1,2,15,30,10,0,10,82.74,222.14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,1,2,16,30,4,0,4,89.66,233.87,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016,1,2,17,30,0,0,0,98.64,244.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,18,30,0,0,0,107.88,255.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
