Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,151.19,25.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,145.29,49.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,137.08,67.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,127.82,81.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,118.21,92.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,108.69,103.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,99.6,114.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,91.27,125.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,52,196,37,83.92,137.42,18.5,18.5,150.4,213.2,162.0,26.7,18.5,18.5
2016,1,1,9,30,11,0,11,78.29,150.13,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2016,1,1,10,30,17,0,17,74.53,163.78,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2016,1,1,11,30,274,517,125,73.01,178.06,62.5,62.5,79.2,423.8,556.7,400.1,62.5,62.5
2016,1,1,12,30,118,0,118,73.88,192.42,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
2016,1,1,13,30,16,0,16,77.06,206.29,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2016,1,1,14,30,10,0,10,82.23,219.27,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,1,1,15,30,4,0,4,88.81,231.29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2016,1,1,16,30,0,0,0,97.25,242.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,17,30,0,0,0,106.16,253.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,18,30,0,0,0,115.6,264.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,19,30,0,0,0,125.21,275.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,20,30,0,0,0,134.62,288.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,21,30,0,0,0,143.19,305.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,22,30,0,0,0,149.86,327.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,23,30,0,0,0,152.93,355.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,0,30,0,0,0,151.14,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,1,30,0,0,0,145.28,49.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,2,30,0,0,0,137.09,67.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,3,30,0,0,0,127.84,80.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,4,30,0,0,0,118.23,92.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,5,30,0,0,0,108.71,103.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,6,30,0,0,0,99.61,114.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,7,30,0,0,0,91.27,125.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,8,30,54,230,37,83.9,137.28,18.5,18.5,173.7,247.0,186.5,27.6,18.5,18.5
2016,1,2,9,30,117,4,116,78.25,150.0,58.0,58.0,60.0,61.8,61.4,59.0,58.0,58.0
2016,1,2,10,30,33,0,33,74.47,163.66,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
2016,1,2,11,30,118,0,117,72.93,177.95,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
2016,1,2,12,30,150,1,150,73.78,192.32,75.0,75.0,75.0,75.5,75.9,75.8,75.2,75.0
2016,1,2,13,30,234,636,79,76.95,206.21,39.5,39.5,39.5,239.1,595.4,626.1,313.1,39.5
2016,1,2,14,30,11,0,11,82.11,219.21,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2016,1,2,15,30,36,213,25,88.69,231.25,12.5,12.5,12.5,12.5,145.8,224.2,178.6,35.7
2016,1,2,16,30,0,0,0,97.12,242.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,17,30,0,0,0,106.03,253.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,18,30,0,0,0,115.46,264.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,19,30,0,0,0,125.08,275.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,20,30,0,0,0,134.48,288.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,21,30,0,0,0,143.06,305.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,22,30,0,0,0,149.74,327.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,23,30,0,0,0,152.84,355.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,0,30,0,0,0,151.09,24.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,1,30,0,0,0,145.26,48.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,2,30,0,0,0,137.09,66.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,3,30,0,0,0,127.85,80.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,4,30,0,0,0,118.24,92.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,5,30,0,0,0,108.71,103.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
