Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2021,1,1,0,30,0,0,0,155.2,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,30,0,0,0,149.34,47.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,2,30,0,0,0,140.66,66.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,3,30,0,0,0,130.79,80.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,4,30,0,0,0,120.53,92.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,5,30,0,0,0,110.33,102.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,6,30,0,0,0,100.52,112.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,7,30,0,0,0,91.41,122.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,8,30,5,0,5,83.22,134.11,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2021,1,1,9,30,6,0,6,76.7,146.43,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,10,30,45,0,45,72.06,159.93,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2021,1,1,11,30,11,0,11,69.77,174.33,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,1,12,30,23,0,23,70.07,189.02,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5
2021,1,1,13,30,74,0,74,72.92,203.26,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
2021,1,1,14,30,4,0,4,78.02,216.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,1,1,15,30,7,0,7,84.89,228.56,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2021,1,1,16,30,0,0,0,93.38,239.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,17,30,0,0,0,102.68,249.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,18,30,0,0,0,112.6,259.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,19,30,0,0,0,122.84,270.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,20,30,0,0,0,133.05,282.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,21,30,0,0,0,142.74,297.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,22,30,0,0,0,150.94,317.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,23,30,0,0,0,155.81,346.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,0,30,0,0,0,155.15,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,1,30,0,0,0,149.33,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,2,30,0,0,0,140.67,66.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,3,30,0,0,0,130.81,80.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,4,30,0,0,0,120.55,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,5,30,0,0,0,110.35,102.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,6,30,0,0,0,100.53,112.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,7,30,0,0,0,91.4,122.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,8,30,11,0,11,83.21,133.97,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,2,9,30,122,60,109,76.66,146.29,54.5,54.5,86.9,111.8,103.1,65.9,54.5,54.5
2021,1,2,10,30,198,162,150,72.01,159.79,75.0,75.0,128.2,214.9,219.6,139.6,75.0,75.0
2021,1,2,11,30,336,794,65,69.69,174.2,32.5,32.5,107.8,609.6,773.3,503.1,32.5,32.5
2021,1,2,12,30,344,810,63,69.97,188.91,31.5,31.5,31.5,479.8,783.3,646.5,149.4,31.5
2021,1,2,13,30,194,50,179,72.8,203.18,89.5,89.5,89.5,107.3,133.4,133.8,108.3,89.5
2021,1,2,14,30,216,706,50,77.9,216.44,25.0,25.0,25.0,127.7,580.3,707.6,435.0,25.0
2021,1,2,15,30,98,524,34,84.76,228.52,17.0,17.0,17.0,17.0,362.6,537.8,407.9,49.0
2021,1,2,16,30,0,0,0,93.24,239.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,17,30,0,0,0,102.54,249.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,18,30,0,0,0,112.46,259.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,19,30,0,0,0,122.7,270.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,20,30,0,0,0,132.91,282.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,21,30,0,0,0,142.6,297.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,22,30,0,0,0,150.81,317.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,23,30,0,0,0,155.7,346.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,0,30,0,0,0,155.09,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,1,30,0,0,0,149.31,47.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,2,30,0,0,0,140.67,66.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,3,30,0,0,0,130.82,80.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,4,30,0,0,0,120.57,91.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,5,30,0,0,0,110.36,102.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,6,30,0,0,0,100.53,112.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,7,30,0,0,0,91.4,122.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,8,30,14,0,14,83.18,133.83,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2021,1,3,9,30,6,0,6,76.62,146.15,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,3,10,30,10,0,10,71.94,159.66,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2021,1,3,11,30,43,0,43,69.6,174.08,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
2021,1,3,12,30,72,0,72,69.86,188.81,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2021,1,3,13,30,30,0,30,72.68,203.1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2021,1,3,14,30,7,0,7,77.76,216.39,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2021,1,3,15,30,10,0,10,84.62,228.48,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2021,1,3,16,30,0,0,0,93.1,239.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,17,30,0,0,0,102.39,249.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,18,30,0,0,0,112.32,259.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,19,30,0,0,0,122.56,270.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,20,30,0,0,0,132.77,282.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,21,30,0,0,0,142.45,297.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,22,30,0,0,0,150.67,317.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,23,30,0,0,0,155.58,346.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,0,30,0,0,0,155.02,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,1,30,0,0,0,149.28,47.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,2,30,0,0,0,140.67,66.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,3,30,0,0,0,130.83,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,4,30,0,0,0,120.58,91.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,5,30,0,0,0,110.37,101.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,6,30,0,0,0,100.53,112.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,7,30,0,0,0,91.38,122.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,8,30,6,0,6,83.15,133.68,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,4,9,30,6,0,6,76.57,146.01,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,4,10,30,10,0,10,71.87,159.52,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2021,1,4,11,30,12,0,12,69.51,173.96,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2021,1,4,12,30,28,0,28,69.74,188.72,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2021,1,4,13,30,17,0,17,72.55,203.03,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2021,1,4,14,30,7,0,7,77.62,216.34,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2021,1,4,15,30,11,0,11,84.48,228.46,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,4,16,30,0,0,0,92.95,239.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,17,30,0,0,0,102.25,249.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
