Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2021,1,1,0,30,0,0,0,153.44,7.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,30,0,0,0,149.8,35.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,2,30,0,0,0,142.7,57.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,3,30,0,0,0,133.84,73.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,4,30,0,0,0,124.25,86.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,5,30,0,0,0,114.52,97.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,6,30,0,0,0,105.01,107.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,7,30,0,0,0,96.06,118.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,8,30,0,0,0,87.72,129.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,9,30,6,0,6,81.11,141.95,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,10,30,6,0,6,76.04,155.04,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,11,30,43,0,43,73.04,169.01,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
2021,1,1,12,30,10,0,10,72.39,183.45,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2021,1,1,13,30,15,0,15,74.18,197.74,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2021,1,1,14,30,7,0,7,78.21,211.32,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2021,1,1,15,30,17,0,17,84.09,223.93,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2021,1,1,16,30,0,0,0,91.68,235.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,17,30,0,0,0,100.2,246.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,18,30,0,0,0,109.45,257.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,19,30,0,0,0,119.11,267.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,20,30,0,0,0,128.82,279.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,21,30,0,0,0,138.15,293.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,22,30,0,0,0,146.33,312.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,23,30,0,0,0,152.01,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,0,30,0,0,0,153.37,7.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,1,30,0,0,0,149.77,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,2,30,0,0,0,142.69,57.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,3,30,0,0,0,133.85,73.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,4,30,0,0,0,124.27,85.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,5,30,0,0,0,114.53,97.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,6,30,0,0,0,105.02,107.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,7,30,0,0,0,96.05,118.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,8,30,0,0,0,87.7,129.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,9,30,97,452,39,81.08,141.82,19.5,19.5,295.5,462.9,370.5,72.5,19.5,19.5
2021,1,2,10,30,32,0,32,75.99,154.9,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2021,1,2,11,30,92,1,92,72.96,168.89,46.0,46.0,46.2,46.8,46.9,46.5,46.0,46.0
2021,1,2,12,30,291,755,60,72.3,183.34,30.0,30.0,30.0,508.1,748.0,567.4,71.9,30.0
2021,1,2,13,30,269,741,57,74.07,197.65,28.5,28.5,28.5,355.9,707.5,661.4,244.5,28.5
2021,1,2,14,30,204,683,49,78.09,211.26,24.5,24.5,24.5,183.2,595.8,673.7,371.3,24.5
2021,1,2,15,30,107,539,35,83.97,223.88,17.5,17.5,17.5,28.0,403.9,553.4,389.0,17.5
2021,1,2,16,30,0,0,0,91.54,235.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,17,30,0,0,0,100.06,246.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,18,30,0,0,0,109.31,257.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,19,30,0,0,0,118.97,267.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,20,30,0,0,0,128.68,279.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,21,30,0,0,0,138.01,293.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,22,30,0,0,0,146.19,312.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,23,30,0,0,0,151.89,336.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,0,30,0,0,0,153.28,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,1,30,0,0,0,149.73,35.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,2,30,0,0,0,142.68,56.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,3,30,0,0,0,133.85,72.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,4,30,0,0,0,124.28,85.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,5,30,0,0,0,114.54,97.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
