Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2019,1,1,0,30,0,0,0,152.22925377991663,4.046339804094487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,1,30,0,0,0,149.272736501642,31.8586972342448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,2,30,0,0,0,142.797653074386,53.83872964940065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,3,30,0,0,0,134.41089849333437,70.50409715086892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,4,30,0,0,0,125.17477146769995,83.89424633791754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,30,0,0,0,115.70555169702341,95.56006858812782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,6,30,0,0,0,106.41006372275295,106.50066024625141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,7,30,0,0,0,97.62331315114668,117.38578105517843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,8,30,0,0,0,89.24171330445965,128.69584686009688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,9,30,14,0,14,82.82091055009573,140.76696764570698,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2019,1,1,10,30,10,0,10,77.73695590924615,153.76124761407436,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2019,1,1,11,30,33,0,33,74.60922092856869,167.59561691739327,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
2019,1,1,12,30,37,0,37,73.74068371781215,181.90587007944737,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5
2019,1,1,13,30,17,0,17,75.2200896819359,196.140709931168,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2019,1,1,14,30,38,0,38,78.89769153301481,209.78012088648003,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
2019,1,1,15,30,26,0,26,84.41980889426698,222.5312089183897,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2019,1,1,16,30,0,0,0,91.66049661831804,234.3822237365869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,30,0,0,0,99.85827652050068,245.5473992850767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,18,30,0,0,0,108.80787343860706,256.4014317465354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,19,30,0,0,0,118.17916580840657,267.4673050365502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,30,0,0,0,127.62623168314428,279.4842624270731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,21,30,0,0,0,136.7029447965638,293.5741336113626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
