Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2021,1,1,0,30,0,0,0,153.15,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,30,0,0,0,150.48,30.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,2,30,0,0,0,144.02,53.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,3,30,0,0,0,135.52,69.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,4,30,0,0,0,126.12,83.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,5,30,0,0,0,116.47,94.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,6,30,0,0,0,106.97,105.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,7,30,0,0,0,97.96,116.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,8,30,0,0,0,89.32,127.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,9,30,6,0,6,82.64,139.53,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,10,30,26,0,26,77.28,152.42,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
2021,1,1,11,30,76,5,75,73.87,166.23,37.5,37.5,38.6,41.6,42.2,40.0,37.5,37.5
2021,1,1,12,30,11,0,11,72.76,180.59,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2021,1,1,13,30,9,0,9,74.06,194.92,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2021,1,1,14,30,7,0,7,77.63,208.67,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2021,1,1,15,30,19,0,19,83.13,221.49,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
2021,1,1,16,30,21,160,15,89.83,233.34,7.5,7.5,7.5,7.5,103.0,165.8,135.9,30.7
2021,1,1,17,30,0,0,0,98.64,244.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,18,30,0,0,0,107.7,255.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,19,30,0,0,0,117.22,265.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,20,30,0,0,0,126.86,277.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,21,30,0,0,0,136.21,291.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,22,30,0,0,0,144.58,308.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,23,30,0,0,0,150.79,331.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,0,30,0,0,0,153.07,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,1,30,0,0,0,150.44,30.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,2,30,0,0,0,144.01,52.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,3,30,0,0,0,135.53,69.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,4,30,0,0,0,126.14,83.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,5,30,0,0,0,116.48,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,6,30,0,0,0,106.98,105.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,7,30,0,0,0,97.96,116.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,8,30,0,0,0,89.31,127.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,9,30,15,0,15,82.62,139.39,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2021,1,2,10,30,45,0,45,77.23,152.29,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2021,1,2,11,30,134,9,132,73.8,166.1,66.0,66.0,68.1,73.4,74.4,70.5,66.0,66.0
2021,1,2,12,30,282,757,57,72.67,180.48,28.5,28.5,28.5,535.2,751.1,543.7,34.6,28.5
2021,1,2,13,30,143,36,133,73.95,194.83,66.5,66.5,66.5,83.9,99.9,96.4,75.4,66.5
2021,1,2,14,30,213,705,48,77.51,208.6,24.0,24.0,24.0,218.3,628.3,684.3,353.5,24.0
2021,1,2,15,30,4,0,4,83.01,221.43,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,1,2,16,30,3,0,3,89.72,233.3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2021,1,2,17,30,0,0,0,98.5,244.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,18,30,0,0,0,107.56,255.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,19,30,0,0,0,117.08,265.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,20,30,0,0,0,126.72,277.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,21,30,0,0,0,136.07,291.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,22,30,0,0,0,144.45,308.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,23,30,0,0,0,150.67,331.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,0,30,0,0,0,152.97,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,1,30,0,0,0,150.38,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,2,30,0,0,0,143.99,52.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,3,30,0,0,0,135.52,69.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,4,30,0,0,0,126.14,83.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,5,30,0,0,0,116.49,94.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,6,30,0,0,0,106.98,105.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,7,30,0,0,0,97.95,116.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,8,30,0,0,0,89.29,127.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,9,30,4,0,4,82.58,139.25,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,1,3,10,30,3,0,3,77.17,152.15,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2021,1,3,11,30,33,0,33,73.73,165.98,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
2021,1,3,12,30,42,0,42,72.58,180.37,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2021,1,3,13,30,96,1,95,73.84,194.74,47.5,47.5,47.5,48.0,48.4,48.3,47.7,47.5
2021,1,3,14,30,213,663,56,77.39,208.53,28.0,28.0,28.0,211.4,596.4,648.5,337.0,28.0
2021,1,3,15,30,18,0,18,82.87,221.38,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2021,1,3,16,30,5,0,5,89.6,233.27,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2021,1,3,17,30,0,0,0,98.36,244.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,18,30,0,0,0,107.41,255.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,19,30,0,0,0,116.93,265.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,20,30,0,0,0,126.58,277.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,21,30,0,0,0,135.92,291.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,22,30,0,0,0,144.3,308.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,23,30,0,0,0,150.54,331.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,0,30,0,0,0,152.87,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,1,30,0,0,0,150.33,29.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
