Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2018,1,1,0,30,0,0,0,155.06480752873122,19.17730110417233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,1,30,0,0,0,149.4481594585493,46.5766758795574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,2,30,0,0,0,140.92972533485477,65.77159029674198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,3,30,0,0,0,131.1601972861479,79.89478223583916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,4,30,0,0,0,120.97033427353112,91.44545134342661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,5,30,0,0,0,110.81977599311517,101.85725229290665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,6,30,0,0,0,101.04085532245153,111.99416587306564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,7,30,0,0,0,91.9480354981311,122.44920983907292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,1,1,8,30,7,0,7,83.75520581224362,133.6673380947699,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2018,1,1,9,30,32,0,32,77.21419024128824,145.95358663234185,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2018,1,1,10,30,43,0,43,72.529047487638,159.39332739350834,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
2018,1,1,11,30,113,1,113,70.15157055884322,173.73932772346075,56.5,56.5,56.602573699581036,57.23366440378163,57.434984450477316,57.088603286691345,56.5,56.5
2018,1,1,12,30,145,6,143,70.33894498193396,188.39995105308068,71.5,71.5,71.5,74.86879172140341,77.08958401823364,76.0360738052065,72.32539307701472,71.5
2018,1,1,13,30,187,42,174,73.06986744739523,202.6459277881402,87.0,87.0,87.0,102.28152767005288,124.08196085036826,124.16028428392607,102.47061716559978,87.0
2018,1,1,14,30,106,4,105,78.05327971493713,215.92786346467798,52.5,52.5,52.5,53.117050556391696,55.668869924308964,56.36440826796225,54.796228658789964,52.5
