Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,152.05,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,146.43,47.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,138.3,65.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,129.01,79.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,119.33,91.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,109.7,102.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,100.46,113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,91.95,124.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,50,299,29,84.37,135.96,14.5,14.5,221.4,312.0,228.4,19.5,14.5,14.5
2016,1,1,9,30,115,8,114,78.49,148.54,57.0,57.0,61.1,64.6,63.7,58.8,57.0,57.0
2016,1,1,10,30,247,665,77,74.44,162.1,38.5,38.5,235.4,608.8,648.1,330.3,38.5,38.5
2016,1,1,11,30,295,705,87,72.63,176.36,43.5,43.5,86.2,548.5,715.0,488.1,43.5,43.5
2016,1,1,12,30,294,694,89,73.23,190.78,44.5,44.5,44.5,418.2,697.3,594.0,168.8,44.5
2016,1,1,13,30,75,0,75,76.18,204.74,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
2016,1,1,14,30,11,0,11,81.19,217.84,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2016,1,1,15,30,5,0,5,87.75,229.94,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,1,16,30,0,0,0,96.04,241.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,17,30,0,0,0,104.95,251.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,18,30,0,0,0,114.42,262.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,19,30,0,0,0,124.12,273.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,20,30,0,0,0,133.67,286.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,21,30,0,0,0,142.5,302.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,22,30,0,0,0,149.58,324.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,23,30,0,0,0,153.25,352.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,0,30,0,0,0,152.0,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,1,30,0,0,0,146.42,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,2,30,0,0,0,138.31,65.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,3,30,0,0,0,129.03,79.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,4,30,0,0,0,119.35,91.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,5,30,0,0,0,109.71,102.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,6,30,0,0,0,100.47,113.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,7,30,0,0,0,91.95,124.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,8,30,5,0,5,84.35,135.82,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2016,1,2,9,30,124,9,123,78.45,148.41,61.5,61.5,66.1,70.1,69.0,63.5,61.5,61.5
2016,1,2,10,30,35,0,35,74.38,161.97,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2016,1,2,11,30,291,601,113,72.55,176.24,56.5,56.5,94.1,487.6,628.6,434.5,56.5,56.5
2016,1,2,12,30,293,621,109,73.13,190.68,54.5,54.5,54.5,389.6,638.5,545.3,164.6,54.5
2016,1,2,13,30,246,593,94,76.07,204.66,47.0,47.0,47.0,247.1,570.1,586.7,287.1,47.0
2016,1,2,14,30,29,0,29,81.07,217.78,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
2016,1,2,15,30,51,258,32,87.63,229.89,16.0,16.0,16.0,16.0,182.1,272.8,213.2,38.0
2016,1,2,16,30,0,0,0,95.91,241.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,17,30,0,0,0,104.81,251.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,18,30,0,0,0,114.28,262.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,19,30,0,0,0,123.98,273.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,20,30,0,0,0,133.53,286.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,21,30,0,0,0,142.36,302.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,22,30,0,0,0,149.46,323.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,23,30,0,0,0,153.15,351.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,0,30,0,0,0,151.95,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,1,30,0,0,0,146.4,46.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,2,30,0,0,0,138.31,65.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,3,30,0,0,0,129.04,79.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,4,30,0,0,0,119.36,91.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,5,30,0,0,0,109.72,102.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,6,30,0,0,0,100.47,113.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,7,30,0,0,0,91.94,124.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,8,30,7,0,7,84.33,135.69,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2016,1,3,9,30,116,6,114,78.41,148.27,57.0,57.0,60.1,62.7,62.0,58.3,57.0,57.0
2016,1,3,10,30,254,717,71,74.32,161.85,35.5,35.5,250.5,651.4,691.5,347.3,35.5,35.5
2016,1,3,11,30,305,767,77,72.46,176.13,38.5,38.5,87.9,589.4,768.2,519.6,38.5,38.5
2016,1,3,12,30,307,773,76,73.03,190.58,38.0,38.0,38.0,455.9,764.8,647.9,173.7,38.0
2016,1,3,13,30,259,735,69,75.95,204.58,34.5,34.5,34.5,283.3,682.9,702.7,331.1,34.5
2016,1,3,14,30,28,0,28,80.94,217.72,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2016,1,3,15,30,56,368,29,87.5,229.85,14.5,14.5,14.5,14.5,251.6,380.8,295.5,45.6
2016,1,3,16,30,0,0,0,95.77,241.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,17,30,0,0,0,104.67,251.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,18,30,0,0,0,114.14,262.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,19,30,0,0,0,123.84,273.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,20,30,0,0,0,133.39,286.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,21,30,0,0,0,142.22,302.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,22,30,0,0,0,149.33,323.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,3,23,30,0,0,0,153.05,351.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,0,30,0,0,0,151.89,21.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,1,30,0,0,0,146.37,46.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,2,30,0,0,0,138.3,65.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,3,30,0,0,0,129.05,79.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,4,30,0,0,0,119.37,91.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,5,30,0,0,0,109.72,102.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,6,30,0,0,0,100.47,112.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,7,30,0,0,0,91.92,123.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,8,30,8,0,8,84.3,135.54,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2016,1,4,9,30,10,0,10,78.35,148.14,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,1,4,10,30,253,716,69,74.25,161.72,34.5,34.5,250.6,650.0,688.8,344.3,34.5,34.5
2016,1,4,11,30,56,0,56,72.37,176.01,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
2016,1,4,12,30,300,743,77,72.91,190.48,38.5,38.5,38.5,441.0,736.8,623.6,167.7,38.5
2016,1,4,13,30,253,698,71,75.82,204.51,35.5,35.5,35.5,272.4,651.3,669.4,316.2,35.5
2016,1,4,14,30,12,0,12,80.81,217.66,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016,1,4,15,30,20,0,20,87.37,229.82,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2016,1,4,16,30,0,0,0,95.62,241.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,17,30,0,0,0,104.53,251.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,18,30,0,0,0,113.99,262.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,19,30,0,0,0,123.69,273.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,20,30,0,0,0,133.25,286.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,21,30,0,0,0,142.08,302.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,22,30,0,0,0,149.19,323.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,4,23,30,0,0,0,152.93,351.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,0,30,0,0,0,151.81,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,1,30,0,0,0,146.34,46.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,2,30,0,0,0,138.29,64.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,3,30,0,0,0,129.04,79.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,4,30,0,0,0,119.37,91.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,5,30,0,0,0,109.72,102.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,6,30,0,0,0,100.46,112.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,7,30,0,0,0,91.9,123.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,8,30,21,0,21,84.26,135.4,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2016,1,5,9,30,7,0,7,78.3,148.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2016,1,5,10,30,24,0,24,74.17,161.58,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2016,1,5,11,30,38,0,38,72.27,175.9,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
2016,1,5,12,30,92,0,91,72.8,190.39,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
2016,1,5,13,30,126,1,126,75.69,204.44,63.0,63.0,63.0,63.3,63.9,63.9,63.4,63.0
2016,1,5,14,30,10,0,10,80.67,217.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2016,1,5,15,30,17,0,17,87.23,229.78,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
2016,1,5,16,30,0,0,0,95.48,241.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,17,30,0,0,0,104.38,251.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,18,30,0,0,0,113.84,262.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,19,30,0,0,0,123.54,273.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,5,20,30,0,0,0,133.09,286.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
