Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2019,1,1,0,30,0,0,0,150.76,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,1,30,0,0,0,145.41,46.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,2,30,0,0,0,137.61,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,3,30,0,0,0,128.63,79.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,4,30,0,0,0,119.22,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,5,30,0,0,0,109.84,102.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,6,30,0,0,0,100.85,113.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,7,30,0,0,0,92.57,124.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,8,30,9,0,9,85.19,136.2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2019,1,1,9,30,8,0,8,79.52,148.85,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019,1,1,10,30,91,0,91,75.63,162.4,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
2019,1,1,11,30,156,5,155,73.91,176.58,77.5,77.5,77.8,81.1,82.3,80.7,77.5,77.5
2019,1,1,12,30,91,0,91,74.52,190.91,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
2019,1,1,13,30,28,0,28,77.41,204.81,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
2019,1,1,14,30,22,0,22,82.29,217.91,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
2019,1,1,15,30,3,0,3,88.61,230.08,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2019,1,1,16,30,0,0,0,96.77,241.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,17,30,0,0,0,105.46,252.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,18,30,0,0,0,114.69,263.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,19,30,0,0,0,124.13,274.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,1,20,30,0,0,0,133.38,288.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
