Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2022,1,1,0,30,0,0,0,154.4,357.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,1,30,0,0,0,152.12,28.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,2,30,0,0,0,145.67,52.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,3,30,0,0,0,137.0,69.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,4,30,0,0,0,127.38,82.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,5,30,0,0,0,117.48,94.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,6,30,0,0,0,107.72,104.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,7,30,0,0,0,98.42,115.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,8,30,0,0,0,89.45,126.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,9,30,5,0,5,82.46,138.05,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2022,1,1,10,30,33,0,33,76.73,150.79,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
2022,1,1,11,30,9,0,9,72.98,164.55,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2022,1,1,12,30,11,0,11,71.55,178.95,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2022,1,1,13,30,11,0,11,72.62,193.41,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2022,1,1,14,30,8,0,8,76.05,207.29,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2022,1,1,15,30,5,0,5,81.52,220.19,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2022,1,1,16,30,3,0,3,88.42,232.05,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2022,1,1,17,30,0,0,0,97.12,243.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,18,30,0,0,0,106.32,253.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,19,30,0,0,0,116.03,264.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,20,30,0,0,0,125.92,275.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,21,30,0,0,0,135.61,288.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,22,30,0,0,0,144.46,305.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,23,30,0,0,0,151.33,327.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,0,30,0,0,0,154.32,357.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,1,30,0,0,0,152.08,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,2,30,0,0,0,145.66,51.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,3,30,0,0,0,137.01,69.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,4,30,0,0,0,127.4,82.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,5,30,0,0,0,117.5,94.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,6,30,0,0,0,107.73,104.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,7,30,0,0,0,98.43,115.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,8,30,0,0,0,89.44,126.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,9,30,6,0,6,82.44,137.91,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,2,10,30,6,0,6,76.69,150.66,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
