Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2016,1,1,0,30,0,0,0,153.5,10.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,1,30,0,0,0,149.37,38.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,2,30,0,0,0,141.96,59.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,3,30,0,0,0,132.94,74.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,4,30,0,0,0,123.28,87.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,5,30,0,0,0,113.52,98.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,6,30,0,0,0,104.03,109.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,7,30,0,0,0,95.13,119.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,8,30,2,0,2,86.93,131.13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016,1,1,9,30,8,0,8,80.42,143.29,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2016,1,1,10,30,93,0,93,75.54,156.47,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5
2016,1,1,11,30,58,0,58,72.76,170.51,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
2016,1,1,12,30,113,0,113,72.37,184.96,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5
2016,1,1,13,30,74,0,74,74.41,199.2,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
2016,1,1,14,30,14,0,14,78.67,212.68,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2016,1,1,15,30,64,1,64,84.74,225.17,32.0,32.0,32.0,32.0,32.7,33.0,32.7,32.0
2016,1,1,16,30,0,0,0,92.49,236.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,17,30,0,0,0,101.13,247.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,18,30,0,0,0,110.46,258.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,19,30,0,0,0,120.17,268.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,20,30,0,0,0,129.9,280.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,21,30,0,0,0,139.19,295.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,22,30,0,0,0,147.24,314.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,1,23,30,0,0,0,152.6,339.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,0,30,0,0,0,153.43,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,1,30,0,0,0,149.34,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,2,30,0,0,0,141.96,59.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,3,30,0,0,0,132.96,74.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,4,30,0,0,0,123.3,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,5,30,0,0,0,113.54,98.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,1,2,6,30,0,0,0,104.04,109.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
