Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2022,1,1,0,30,0,0,0,153.44,24.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,1,30,0,0,0,147.26,50.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,2,30,0,0,0,138.61,68.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,3,30,0,0,0,128.91,81.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,4,30,0,0,0,118.87,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,5,30,0,0,0,108.93,103.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,6,30,0,0,0,99.41,114.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,7,30,0,0,0,90.07,124.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,8,30,7,0,7,82.88,136.25,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2022,1,1,9,30,4,0,4,76.8,148.81,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2022,1,1,10,30,35,0,34,72.66,162.45,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2022,1,1,11,30,6,0,6,70.85,176.85,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,1,12,30,6,0,6,71.57,191.41,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,1,13,30,5,0,5,74.74,205.44,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2022,1,1,14,30,4,0,4,80.04,218.48,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2022,1,1,15,30,9,0,9,86.94,230.43,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2022,1,1,16,30,0,0,0,95.5,241.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,17,30,0,0,0,104.72,251.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,18,30,0,0,0,114.52,262.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,19,30,0,0,0,124.55,273.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,20,30,0,0,0,134.46,285.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,21,30,0,0,0,143.68,301.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,22,30,0,0,0,151.14,323.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,1,23,30,0,0,0,154.96,352.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,0,30,0,0,0,153.4,24.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,1,30,0,0,0,147.25,49.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,2,30,0,0,0,138.63,67.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,3,30,0,0,0,128.92,81.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,4,30,0,0,0,118.89,93.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,5,30,0,0,0,108.94,103.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,6,30,0,0,0,99.42,113.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,7,30,0,0,0,90.06,124.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,8,30,5,0,5,82.86,136.11,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2022,1,2,9,30,7,0,7,76.76,148.67,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
2022,1,2,10,30,11,0,11,72.6,162.32,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2022,1,2,11,30,110,0,109,70.77,176.73,54.5,54.5,54.5,54.5,54.5,54.5,54.5,54.5
2022,1,2,12,30,128,1,128,71.47,191.31,64.0,64.0,64.0,64.5,64.9,64.8,64.2,64.0
2022,1,2,13,30,75,0,75,74.62,205.36,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
2022,1,2,14,30,30,0,30,79.91,218.43,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
2022,1,2,15,30,11,0,11,86.81,230.39,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
2022,1,2,16,30,0,0,0,95.36,241.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,17,30,0,0,0,104.59,251.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,18,30,0,0,0,114.38,262.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,19,30,0,0,0,124.41,273.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,20,30,0,0,0,134.32,285.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,21,30,0,0,0,143.54,301.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,22,30,0,0,0,151.02,323.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,2,23,30,0,0,0,154.86,352.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,0,30,0,0,0,153.34,24.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,1,30,0,0,0,147.24,49.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,2,30,0,0,0,138.63,67.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,3,30,0,0,0,128.94,81.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,4,30,0,0,0,118.9,92.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,5,30,0,0,0,108.95,103.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,6,30,0,0,0,99.42,113.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,7,30,0,0,0,90.05,124.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,1,3,8,30,14,0,14,82.83,135.97,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2022,1,3,9,30,6,0,6,76.72,148.53,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,3,10,30,5,0,5,72.53,162.19,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2022,1,3,11,30,6,0,6,70.68,176.62,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,3,12,30,6,0,6,71.36,191.21,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2022,1,3,13,30,10,0,10,74.5,205.28,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2022,1,3,14,30,6,0,6,79.78,218.37,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
