Year,Month,Day,Hour,Minute,GHI,DNI,DHI,apparent_zenith,azimuth,irradiance_north,irradiance_northeast,irradiance_east,irradiance_southeast,irradiance_south,irradiance_southwest,irradiance_west,irradiance_northwest
2021,1,1,0,30,0,0,0,152.44120569038006,10.606808343786668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,1,30,0,0,0,148.48070833022354,37.65867167268203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,2,30,0,0,0,141.33351758428182,58.356443446851074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,3,30,0,0,0,132.56355591796023,74.05345489752892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,4,30,0,0,0,123.12059381972614,86.84302815081918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,5,30,0,0,0,113.55513429585488,98.16982582395741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,6,30,0,0,0,104.24592371909296,108.95292825481965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,7,30,0,0,0,95.52131586793521,119.81646957959543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,8,30,0,0,0,87.45700133825102,131.21278753022108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,9,30,5,0,5,81.12074202556411,143.45009814640514,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
2021,1,1,10,30,6,0,6,76.36310602406829,156.64720200562806,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,11,30,9,0,9,73.66989921729788,170.65632519286214,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
2021,1,1,12,30,77,0,77,73.30758808445796,185.04472338403082,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
2021,1,1,13,30,33,0,33,75.31382510393608,199.22609940702108,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
2021,1,1,14,30,6,0,6,79.48573714335244,212.69996034480616,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,1,15,30,14,0,14,85.42064546016462,225.2286429064473,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2021,1,1,16,30,0,0,0,93.04438463727013,236.8581930584094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,17,30,0,0,0,101.5251258682605,247.84731908356864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,18,30,0,0,0,110.6892818335331,258.60620636184166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,19,30,0,0,0,120.20921747710904,269.69971367247103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,20,30,0,0,0,129.72964308616463,281.938970759034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,21,30,0,0,0,138.76863368979352,296.58129574999435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,22,30,0,0,0,146.52558653350962,315.54532346771794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,1,23,30,0,0,0,151.6189377986786,340.7365346829514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,0,30,0,0,0,152.3698182233092,10.352595658414145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,1,30,0,0,0,148.44835764023196,37.402443949668225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,2,30,0,0,0,141.32744233692154,58.1357583844441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,3,30,0,0,0,132.5708731717873,73.86609017348053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,4,30,0,0,0,123.13252161265645,86.67844626599481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,5,30,0,0,0,113.56568753470495,98.01915974946792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,6,30,0,0,0,104.25051408879426,108.80993382678184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,7,30,0,0,0,95.51595117053664,119.67709250662728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,8,30,0,0,0,87.43905945173361,131.07499128915418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,9,30,18,0,18,81.08497234798061,143.31411116920634,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2021,1,2,10,30,8,0,8,76.3075691959599,156.51585939103666,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2021,1,2,11,30,44,0,44,73.59372566539672,170.53475021690042,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
2021,1,2,12,30,111,3,110,73.21209582513204,184.9386533244651,55.0,55.0,55.0,56.84853164429781,57.86147849912331,57.19821005760138,55.2472599772815,55.0
2021,1,2,13,30,75,0,75,75.20240384889487,199.13942730744873,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5
2021,1,2,14,30,21,0,21,79.36297744143769,212.63331634072486,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
2021,1,2,15,30,82,445,33,85.29289446685263,225.17988615765827,16.5,16.5,16.5,16.5,329.11510121109364,459.9969260004858,331.0842664095704,17.892410065119538
2021,1,2,16,30,0,0,0,92.90833960013211,236.8238111201693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,17,30,0,0,0,101.38660805585349,247.82347063846774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,18,30,0,0,0,110.54957096704926,258.58895075215116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,19,30,0,0,0,120.06903649552359,269.6843790211214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,20,30,0,0,0,129.58956940330415,281.91832026726365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,21,30,0,0,0,138.62997656493653,296.54136494268755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,22,30,0,0,0,146.39273369450166,315.4581925499234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,2,23,30,0,0,0,151.5039359083423,340.563506162911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,0,30,0,0,0,152.29037381015235,10.10007272319956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,1,30,0,0,0,148.40819582525444,37.14267551365526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,2,30,0,0,0,141.31419995448564,57.90956405410293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,3,30,0,0,0,132.57151330242036,73.67306676660593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,4,30,0,0,0,123.13801402174323,86.50861277896422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,5,30,0,0,0,113.56984359451882,97.86376608169837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,6,30,0,0,0,104.24859659602531,108.66275449174663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,7,30,0,0,0,95.50386559868754,119.53410845852443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,8,30,0,0,0,87.41452126637903,130.93426029524989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,9,30,3,0,3,81.04201235999206,143.17602843698415,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2021,1,3,10,30,3,0,3,76.24460457275015,156.38348065815262,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
2021,1,3,11,30,19,0,19,73.5100632614373,170.41340661830372,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
2021,1,3,12,30,16,0,16,73.1092674253222,184.83417591418743,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
2021,1,3,13,30,4,0,4,75.08401031807836,199.05562460644384,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2021,1,3,14,30,6,0,6,79.2337592237139,212.57059539892828,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,3,15,30,6,0,6,85.15923465417436,225.13585484421606,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
2021,1,3,16,30,0,0,0,92.7668952680431,236.79476970900618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,17,30,0,0,0,101.2431262210018,247.80549077385143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,18,30,0,0,0,110.40519377802634,258.5781032087662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,19,30,0,0,0,119.9243064606204,269.6760855588259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,20,30,0,0,0,129.44482526377135,281.90548663007996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,21,30,0,0,0,138.4862007822693,296.5101032948402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,22,30,0,0,0,146.25388843956895,315.380154780118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,3,23,30,0,0,0,151.38173323516102,340.3978871141914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,0,30,0,0,0,152.20290641564122,9.849615059522307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,1,30,0,0,0,148.3601994777837,36.87972530711755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,2,30,0,0,0,141.293739546472,57.67811564004563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,3,30,0,0,0,132.56541984577765,73.47456674386439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,1,4,4,30,0,0,0,123.13701841594025,86.33366897660983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
